年度,問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
令和3年10月,32,"宅地建物取引業の免許（以下この問において「免許」という。）に関する次の
記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。なお、いずれの場合も、
その行為を業として営むものとする。",Ａ社が、都市計画法に規定する用途地域外の土地であって、ソーラーパネルを設置するた めの土地の売買を媒介しようとする場合、免許は必要ない。,Ｂ社が、土地区画整理事業の換地処分により取得した換地を住宅用地として分譲しようと する場合、免許は必要ない。,農業協同組合Ｃが、組合員が所有する宅地の売却の代理をする場合、免許は必要ない。,Ｄ社が、地方公共団体が定住促進策としてその所有する土地について住宅を建築しようと する個人に売却する取引の媒介をしようとする場合、免許は必要ない。,4
令和3年10月,33,宅地建物取引業法第35条に規定する重要事項の説明における水防法施行規則第,宅地建物取引業者は、市町村が、取引の対象となる宅地又は建物の位置を含む水害ハザー ドマップを作成せず、又は印刷物の配布若しくはホームページ等への掲載等をしていないこ とを確認できた場合は、重要事項説明書にその旨記載し、重要事項説明の際に提示すべき水 害ハザードマップが存在しない旨を説明すればよい。,宅地建物取引業者は、市町村が取引の対象となる宅地又は建物の位置を含む「洪水」、「 雨水出水（内水）」、「高潮」の水害ハザードマップを作成している場合、重要事項説明の 際にいずれか１種類の水害ハザードマップを提示すればよい。,宅地建物取引業者は、市町村が取引の対象となる宅地又は建物の位置を含む水害ハザード マップを作成している場合、売買又は交換の媒介のときは重要事項説明の際に水害ハザード マップを提示しなければならないが、貸借の媒介のときはその必要はない。,宅地建物取引業者は、市町村が取引の対象となる宅地又は建物の位置を含む水害ハザード マップを作成している場合、重要事項説明書に水害ハザードマップを添付すれば足りる。 ― 16 ― 〈令和3年度10月〉,2
令和3年10月,34,"宅地建物取引業法の規定に基づく営業保証金に関する次の記述のうち、正しい
ものはどれか。",国土交通大臣から免許を受けた宅地建物取引業者が、営業保証金を主たる事務所のもより の供託所に供託した場合、当該供託所から国土交通大臣にその旨が通知されるため、当該宅 地建物取引業者は国土交通大臣にその旨を届け出る必要はない。,宅地建物取引業者と宅地建物取引業に関し取引をした者は、その取引により生じた債権に 関し、当該宅地建物取引業者が供託した営業保証金について、その債権の弁済を受ける権利 を有するが、取引をした者が宅地建物取引業者に該当する場合は、その権利を有しない。,営業保証金は、金銭による供託のほか、有価証券をもって供託することができるが、金銭 と有価証券とを併用して供託することはできない。,有価証券を営業保証金に充てる場合における当該有価証券の価額は、国債証券の場合はそ の額面金額の100分の90、地方債証券の場合はその額面金額の100分の80である。,1
令和3年10月,35,"宅地建物取引士の登録（以下この問において「登録」という。）及び宅地建物
取引士証に関する次の記述のうち、正しいものはいくつあるか。
ア　宅地建物取引士（甲県知事登録）が事務禁止処分を受けた場合、宅地建物取引士証を甲県
知事に速やかに提出しなければならず、速やかに提出しなかったときは10万円以下の過料に
処せられることがある。
イ　宅地建物取引士（甲県知事登録）が宅地建物取引士としての事務禁止処分を受け、その禁
止の期間中に本人の申請により登録が消除された場合は、その者が乙県で宅地建物取引士資
格試験に合格したとしても、当該期間が満了していないときは、乙県知事の登録を受けるこ
とができない。
ウ　宅地建物取引士（甲県知事登録）が甲県から乙県に住所を変更したときは、乙県知事に対
し、登録の移転の申請をすることができる。
エ　宅地建物取引士（甲県知事登録）が本籍を変更した場合、遅滞なく、甲県知事に変更の登
録を申請しなければならない。",一つ,二つ,三つ,四つ ― 17 ― 〈宅地建物取引士資格試験〉,2
令和3年10月,36,"宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に
関する次の記述のうち、同法の規定に少なくとも説明しなければならない事項として掲げられ
ていないものはどれか。",建物の貸借の媒介を行う場合における、「都市計画法第29条第１項の規定に基づく制限」,建物の貸借の媒介を行う場合における、「当該建物について、石綿の使用の有無の調査の 結果が記録されているときは、その内容」,建物の貸借の媒介を行う場合における、「台所、浴室、便所その他の当該建物の設備の整 備の状況」,宅地の貸借の媒介を行う場合における、「敷金その他いかなる名義をもって授受されるか を問わず、契約終了時において精算することとされている金銭の精算に関する事項」,3
令和3年10月,37,"宅地建物取引業法第35条の規定に基づく重要事項の説明及び同法第37条の規定
により交付すべき書面（以下この問において「37条書面」という。）に関する次の記述のうち、
正しいものはどれか。なお、書面の交付には、契約の各当事者の承諾を得て行う電磁的方法に
よる提供を含むものとする。",宅地建物取引業者は、媒介により区分所有建物の賃貸借契約を成立させた場合、専有部分 の用途その他の利用の制限に関する規約においてペットの飼育が禁止されているときは、そ の旨を重要事項説明書に記載して説明し、37条書面にも記載しなければならない。,宅地建物取引業者は、自ら売主となる土地付建物の売買契約において、宅地建物取引業者 ではない買主から保全措置を講ずる必要のない金額の手付金を受領する場合、手付金の保全 措置を講じないことを、重要事項説明書に記載して説明し、37条書面にも記載しなければな らない。,宅地建物取引業者は、媒介により建物の敷地に供せられる土地の売買契約を成立させた場 合において、当該売買代金以外の金銭の授受に関する定めがあるときは、その額並びに当該 金銭の授受の時期及び目的を37条書面に記載しなければならない。,宅地建物取引業者は、自ら売主となる土地付建物の売買契約及び自ら貸主となる土地付建 物の賃貸借契約のいずれにおいても、37条書面を作成し、その取引の相手方に交付しなけれ ばならない。 ― 18 ― 〈令和3年度10月〉,1
令和3年10月,38,"宅地建物取引業者Ａが、宅地建物取引業者ＢからＢ所有の建物の売却を依頼さ
れ、Ｂと一般媒介契約（以下この問において「本件契約」という。）を締結した場合に関する
次の記述のうち、宅地建物取引業法の規定に違反しないものはいくつあるか。
ア　本件契約を締結する際に、Ｂから有効期間を６か月としたい旨の申出があったが、ＡとＢ
が協議して、有効期間を３か月とした。
イ　当該物件に係る買受けの申込みはなかったが、ＡはＢに対し本件契約に係る業務の処理状
況の報告を口頭により14日に１回以上の頻度で行った。
ウ　Ａは本件契約を締結した後、所定の事項を遅滞なく指定流通機構に登録したが、その登録
を証する書面を、登録してから14日後にＢに交付した。
エ　本件契約締結後、１年を経過しても当該物件を売却できなかったため、Ｂは売却をあきら
め、当該物件を賃貸することにした。そこでＢはＡと当該物件の貸借に係る一般媒介契約を
締結したが、当該契約の有効期間を定めなかった。",一つ,二つ,三つ,四つ,4
令和3年10月,39,"宅地建物取引業者Ａが、自ら売主として、宅地建物取引業者Ｂの媒介により、
宅地建物取引業者ではないＣを買主とするマンションの売買契約を締結した場合における宅地
建物取引業法第37条の２の規定に基づくいわゆるクーリング・オフについて告げるときに交付
すべき書面（以下この問において「告知書面」という。）に関する次の記述のうち、正しいも
のはどれか。",告知書面には、クーリング・オフによる買受けの申込みの撤回又は売買契約の解除があっ たときは、Ａは、その買受けの申込みの撤回又は売買契約の解除に伴う損害賠償又は違約金 の支払を請求することができないことを記載しなければならない。,告知書面には、クーリング・オフについて告げられた日から起算して８日を経過するまで の間は、Ｃが当該マンションの引渡しを受け又は代金の全部を支払った場合を除き、書面に よりクーリング・オフによる買受けの申込みの撤回又は売買契約の解除を行うことができる ことを記載しなければならない。,告知書面には、Ｃがクーリング・オフによる売買契約の解除をするときは、その旨を記載 した書面がＡに到達した時点で、その効力が発生することを記載しなければならない。,告知書面には、Ａ及びＢの商号又は名称及び住所並びに免許証番号を記載しなければなら ない。 ― 19 ― 〈宅地建物取引士資格試験〉,3
令和3年10月,40,次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,宅地建物取引業者は、その業務に関する帳簿を備え、取引のあったつど、その年月日、そ の取引に係る宅地又は建物の所在及び面積その他国土交通省令で定める事項を記載しなけれ ばならないが、支店及び案内所には備え付ける必要はない。,成年である宅地建物取引業者は、宅地建物取引業の業務に関し行った行為について、行為 能力の制限を理由に取り消すことができる。,宅地建物取引業者は、一団の宅地建物の分譲をする場合における当該宅地又は建物の所在 する場所に国土交通省令で定める標識を掲示しなければならない。,宅地建物取引業者は、業務上取り扱ったことについて知り得た秘密に関し、税務署の職員 から質問検査権の規定に基づき質問を受けたときであっても、回答してはならない。,2
令和3年10月,41,"宅地建物取引業者Ａが行う業務に関する次の記述のうち、宅地建物取引業法の
規定によれば、正しいものはいくつあるか。なお、この問において「37条書面」とは、同法第
37条の規定により交付すべき書面をいうものとする。
ア　Ａが自ら売主として建物を売却する場合、宅地建物取引業者Ｂに当該売却の媒介を依頼し
たときは、Ｂは宅地建物取引士をして37条書面に記名させなければならず、Ａも宅地建物取
引士をして37条書面に記名させなければならない。
イ　Ａが自ら売主として建物を売却する場合、当該売買契約に際し、買主から支払われる手付
金の額が売買代金の５％未満であるときは、当該手付金の額の記載があれば、授受の時期に
ついては37条書面に記載しなくてもよい。
ウ　Ａが売主を代理して建物を売却する場合、買主が宅地建物取引業者であるときは、37条書
面を交付しなくてもよい。
エ　Ａが売主を代理して抵当権が設定されている建物を売却する場合、当該抵当権の内容につ
いて37条書面に記載しなければならない。",一つ,二つ,三つ,四つ ― 20 ― 〈令和3年度10月〉,3
令和3年10月,42,"宅地建物取引業者Ａが、自ら売主として宅地建物取引業者ではないＢを買主と
する土地付建物の売買契約（代金3,200万円）を締結する場合に関する次の記述のうち、民法及
び宅地建物取引業法の規定によれば、正しいものはどれか。",割賦販売の契約を締結し、当該土地付建物を引き渡した場合、Ａは、Ｂから800万円の賦 払金の支払を受けるまでに、当該土地付建物に係る所有権の移転登記をしなければならない。,当該土地付建物の工事の完了前に契約を締結した場合、Ａは、宅地建物取引業法第41条に 定める手付金等の保全措置を講じなくても手付金100万円、中間金60万円を受領することが できる。,当事者の債務の不履行を理由とする契約の解除に伴う損害賠償の予定額を400万円とし、 かつ、違約金の額を240万円とする特約を定めた場合、当該特約は無効となる。,当事者の債務の不履行を理由とする契約の解除に伴う損害賠償の予定額を定めていない場 合、債務の不履行による損害賠償の請求額は売買代金の額の10分の２を超えてはならない。,2
令和3年10月,43,"宅地建物取引業者の業務に関する次の記述のうち、宅地建物取引業法の規定に
違反するものはいくつあるか。
ア　マンションの販売に際して、買主が手付として必要な額を持ち合わせていなかったため、
手付を分割受領することにより、契約の締結を誘引した。
イ　宅地の売買に際して、相手方が「契約の締結をするかどうか明日まで考えさせてほしい」
と申し出たのに対し、事実を歪めて「明日では契約締結できなくなるので、今日しか待てな
い」と告げた。
ウ　マンション販売の勧誘を電話で行った際に、勧誘に先立って電話口で宅地建物取引業者の
商号又は名称を名乗らずに勧誘を行った。
エ　建物の貸借の媒介に際して、賃貸借契約の申込みをした者がその撤回を申し出たが、物件
案内等に経費がかかったため、預り金を返還しなかった。",一つ,二つ,三つ,四つ ― 21 ― 〈宅地建物取引士資格試験〉,2
令和3年10月,44,"宅地建物取引業者Ａ（消費税課税事業者）が受け取ることができる報酬額につ
いての次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。なお、貸借
の代理又は媒介をする宅地又は建物は長期の空家等には該当しないものとする。",居住の用に供する建物（１か月の借賃20万円。消費税等相当額を含まない。）の貸借であ って100万円の権利金の授受があるものの媒介をする場合、依頼者双方から受領する報酬の 合計額は11万円を超えてはならない。,"宅地（代金1,000万円。消費税等相当額を含まない。）の売買について、売主から代理の 依頼を受け、買主から媒介の依頼を受け、売買契約を成立させて買主から303,000円の報酬 を受領する場合、売主からは489,000円を上限として報酬を受領することができる。","宅地（代金600万円。消費税等相当額を含まない。）の売買の媒介について、通常の媒介 と比較して現地調査等の費用が７万円（消費税等相当額を含まない。）多く要した場合、あ らかじめ買主に説明し、合意をしていれば、その買主から341,000円を上限として報酬を受 領することができる。",店舗兼住宅（１か月の借賃20万円。消費税等相当額を含まない。）の貸借の媒介をする場 合、依頼者の一方から受領する報酬は11万円を超えてはならない。,1
令和3年10月,45,"宅地建物取引業者Ａが、自ら売主として宅地建物取引業者ではない買主Ｂに新
築住宅を販売する場合における次の記述のうち、特定住宅瑕疵担保責任の履行の確保等に関す
る法律の規定によれば、正しいものはどれか。",Ｂが建設業者である場合、Ａは、Ｂに引き渡した新築住宅について、住宅販売瑕疵担保保 証金の供託又は住宅販売瑕疵担保責任保険契約の締結を行う義務を負わない。,Ａが住宅販売瑕疵担保責任保険契約を締結する場合、当該契約は、ＢがＡから当該新築住 宅の引渡しを受けた時から２年以上の期間にわたって有効なものでなければならない。,Ａが住宅販売瑕疵担保責任保険契約を締結した場合、Ａ及びＢは、指定住宅紛争処理機関 に特別住宅紛争処理の申請をすることにより、当該新築住宅の瑕疵に関するＡとＢとの間の 紛争について、あっせん、調停又は仲裁を受けることができる。,ＡＢ間の新築住宅の売買契約において、当該新築住宅の構造耐力上主要な部分に瑕疵があ ってもＡが瑕疵担保責任を負わない旨の特約があった場合、住宅販売瑕疵担保保証金の供託 又は住宅販売瑕疵担保責任保険契約の締結を行う義務はない。 ― 22 ― 〈令和3年度10月〉,1
令和3年10月,46,"独立行政法人住宅金融支援機構（以下この問において「機構」という。）に関
する次の記述のうち、誤っているものはどれか。",機構は、証券化支援事業（買取型）において、賃貸住宅の購入に必要な資金の貸付けに係 る金融機関の貸付債権を譲受けの対象としている。,機構は、市街地の土地の合理的な利用に寄与する一定の建築物の建設に必要な資金の貸付 けを業務として行っている。,機構は、証券化支援事業（買取型）において、省エネルギー性に優れた住宅を取得する場 合について、貸付金の利率を一定期間引き下げる制度を設けている。,機構は、経済事情の変動に伴い、貸付けを受けた者の住宅ローンの元利金の支払が著しく 困難になった場合に、償還期間の延長等の貸付条件の変更を行っている。,2
令和3年10月,47,"宅地建物取引業者が行う広告に関する次の記述のうち、不当景品類及び不当表
示防止法（不動産の表示に関する公正競争規約を含む。）の規定によれば、正しいものはどれ
か。",住宅の居室の広さを畳数で表示する場合には、畳１枚当たりの広さにかかわらず、実際に 当該居室に敷かれている畳の数を表示しなければならない。,団地（一団の宅地又は建物をいう。）と駅との間の距離は、駅から最も近い当該団地内の 地点を起点として算出した数値とともに駅から最も遠い当該団地内の地点を起点として算出 した数値を表示しなければならず、当該団地を数区に区分して取引するときは各区分ごとに 距離を算出して表示しなければならない。,新築分譲マンションを完成予想図により表示する場合、完成予想図である旨を表示すれば、 緑豊かな環境であることを訴求するために周囲に存在しない公園等を表示することができる。,新築分譲住宅の販売に当たって行う二重価格表示は、実際に過去において販売価格として 公表していた価格を比較対照価格として用いて行うのであれば、値下げの日から１年以内の 期間は表示することができる。,4
令和3年10月,48,"需給統計問題につき省略
（最新の統計データで学習してください。）
― 23 ―
〈宅地建物取引士資格試験〉",,,― 〈宅地建物取引士資格試験〉,,3
令和3年10月,49,土地に関する次の記述のうち、最も不適当なものはどれか。,森林は、木材資源としても重要で、水源涵養、洪水防止等の大きな役割を担っている。,活動度の高い火山の火山麓では、火山活動に伴う災害にも留意する必要がある。,林相は良好でも、破砕帯や崖錐等の上の杉の植林地は、豪雨に際して崩壊することがある。,崖錐や小河川の出口で堆積物の多い所等は、土石流の危険が少ない。,4
令和3年10月,50,建物の構造に関する次の記述のうち、最も不適当なものはどれか。,Ｃ 令和3年10月 問46 (47),Ｃ 令和3年10月 問47(改) (48) － Ｃ 令和3年10月 問48 (49),Ａ 令和3年10月 問50 ※ 難易度表示 A：簡単、B：やや簡単、C：普通、D：やや難、E：難しい Powered by TCPDF (www.tcpdf.org),Ａ 令和3年10月 問49 (50),2
令和3年12月,1,"次の１から４までの記述のうち、民法の規定、判例及び下記判決文によれば、正
しいものはどれか。
（判決文）
私力の行使は、原則として法の禁止するところであるが、法律に定める手続によつたのでは、
権利に対する違法な侵害に対抗して現状を維持することが不可能又は著しく困難であると認め
られる緊急やむを得ない特別の事情が存する場合においてのみ、その必要の限度を超えない範
囲内で、例外的に許されるものと解することを妨げない。",権利に対する違法な侵害に対抗して法律に定める手続によらずに自力救済することは、そ の必要の限度を超えない範囲内であれば、事情のいかんにかかわらず許される。,建物賃貸借契約終了後に当該建物内に家財などの残置物がある場合には、賃貸人の権利に 対する違法な侵害であり、賃貸人は賃借人の同意の有無にかかわらず、原則として裁判を行 わずに当該残置物を建物内から撤去することができる。,建物賃貸借契約の賃借人が賃料を１年分以上滞納した場合には、賃貸人の権利を著しく侵 害するため、原則として裁判を行わずに、賃貸人は賃借人の同意なく当該建物の鍵とシリン ダーを交換して建物内に入れないようにすることができる。,裁判を行っていては権利に対する違法な侵害に対抗して現状を維持することが不可能又は 著しく困難であると認められる緊急やむを得ない特別の事情が存する場合には、その必要の 限度を超えない範囲内で例外的に私力の行使が許される。,3
令和3年12月,2,"相隣関係に関する次の記述のうち、民法の規定によれば、誤っているものはどれ
か。",土地の所有者は、隣地の所有者と共同の費用で、境界標を設けることができる。,隣接する土地の境界線上に設けた障壁は、相隣者の共有に属するものと推定される。,高地の所有者は、その高地が浸水した場合にこれを乾かすためであっても、公の水流又は 下水道に至るまで、低地に水を通過させることはできない。,土地の所有者が直接に雨水を隣地に注ぐ構造の屋根を設けた場合、隣地所有者は、その所 有権に基づいて妨害排除又は予防の請求をすることができる。 ― 1 ― 〈宅地建物取引士資格試験〉,3
令和3年12月,3,"成年後見人が、成年被後見人を代理して行う次に掲げる法律行為のうち、民法の
規定によれば、家庭裁判所の許可を得なければ代理して行うことができないものはどれか。",成年被後見人が所有する乗用車の第三者への売却,成年被後見人が所有する成年被後見人の居住の用に供する建物への第三者の抵当権の設定,成年被後見人が所有するオフィスビルへの第三者の抵当権の設定,成年被後見人が所有する倉庫についての第三者との賃貸借契約の解除,3
令和3年12月,4,"いずれも宅地建物取引業者ではない売主Ａと買主Ｂとの間で令和７年７月１日に
締結した売買契約に関する次の記述のうち、民法の規定によれば、正しいものはどれか。",ＢがＡに対して手付を交付した場合、Ａは、目的物を引き渡すまではいつでも、手付の倍 額を現実に提供して売買契約を解除することができる。,売買契約の締結と同時に、Ａが目的物を買い戻すことができる旨の特約をする場合、買戻 しについての期間の合意をしなければ、買戻しの特約自体が無効となる。,Ｂが購入した目的物が第三者Ｃの所有物であり、Ａが売買契約締結時点でそのことを知ら なかった場合には、Ａは損害を賠償せずに売買契約を解除することができる。,目的物の引渡しの時点で目的物が品質に関して契約の内容に適合しないことをＡが知って いた場合には、当該不適合に関する請求権が消滅時効にかかっていない限り、ＢはＡの担保 責任を追及することができる。,1
令和3年12月,5,"ＡがＢの代理人として行った行為に関する次の記述のうち、民法の規定及び判例
によれば、正しいものはどれか。なお、いずれの行為もＢの追認はないものとし、令和７年７
月１日以降になされたものとする。",ＡがＢの代理人として第三者の便益を図る目的で代理権の範囲内の行為をした場合、相手 方Ｃがその目的を知っていたとしても、ＡＣ間の法律行為の効果はＢに帰属する。,ＢがＡに代理権を与えていないにもかかわらず代理権を与えた旨をＣに表示し、Ａが当該 代理権の範囲内の行為をした場合、ＣがＡに代理権がないことを知っていたとしても、Ｂは その責任を負わなければならない。,ＡがＢから何ら代理権を与えられていないにもかかわらずＢの代理人と詐称してＣとの間 で法律行為をし、ＣがＡにＢの代理権があると信じた場合であっても、原則としてその法律 行為の効果はＢに帰属しない。,ＢがＡに与えた代理権が消滅した後にＡが行った代理権の範囲内の行為について、相手方 Ｃが過失によって代理権消滅の事実を知らなかった場合でも、Ｂはその責任を負わなければ ならない。 ― 2 ― 〈令和3年度12月〉,3
令和3年12月,6,"不動産に関する物権変動の対抗要件に関する次の記述のうち、民法の規定及び判
例によれば、誤っているものはどれか。",不動産の所有権がＡからＢ、ＢからＣ、ＣからＤと転々譲渡された場合、Ａは、Ｄと対抗 関係にある第三者に該当する。,土地の賃借人として当該土地上にある登記ある建物を所有する者は、当該土地の所有権を 新たに取得した者と対抗関係にある第三者に該当する。,第三者のなした登記後に時効が完成して不動産の所有権を取得した者は、当該第三者に対 して、登記を備えなくても、時効取得をもって対抗することができる。,共同相続財産につき、相続人の一人から相続財産に属する不動産につき所有権の全部の譲 渡を受けて移転登記を備えた第三者に対して、他の共同相続人は、自己の持分を登記なくし て対抗することができる。,4
令和3年12月,7,"令和７年７月１日になされた遺言に関する次の記述のうち、民法の規定によれば、
誤っているものはどれか。",自筆証書遺言によって遺言をする場合、遺言者は、その全文、日付及び氏名を自書して押 印しなければならないが、これに添付する相続財産の目録については、遺言者が毎葉に署名 押印すれば、自書でないものも認められる。,公正証書遺言の作成には、証人２人以上の立会いが必要であるが、推定相続人は、未成年 者でなくとも、証人となることができない。,船舶が遭難した場合、当該船舶中にいて死亡の危急に迫った者は、証人２人以上の立会い があれば、口頭で遺言をすることができる。,遺贈義務者が、遺贈の義務を履行するため、受遺者に対し、相当の期間を定めて遺贈の承 認をすべき旨の催告をした場合、受遺者がその期間内に意思表示をしないときは、遺贈を放 棄したものとみなされる。 ― 3 ― 〈宅地建物取引士資格試験〉,2
令和3年12月,8,"ＡはＢに対して、Ａが所有する甲土地を1,000万円で売却したい旨の申込みを郵
便で令和７年７月１日に発信した（以下この問において「本件申込み」という。）が、本件申
込みがＢに到達する前にＡが死亡した場合における次の記述のうち、民法の規定によれば、正
しいものはどれか。",Ｂが承諾の通知を発する前に、ＢがＡの死亡を知ったとしても、本件申込みは効力を失わ ない。,Ａが、本件申込みにおいて、自己が死亡した場合には申込みの効力を失う旨の意思表示を していたときには、ＢがＡの死亡を知らないとしても本件申込みは効力を失う。,本件申込みが効力を失わない場合、本件申込みに承諾をなすべき期間及び撤回をする権利 についての記載がなかったときは、Ａの相続人は、本件申込みをいつでも撤回することがで きる。,本件申込みが効力を失わない場合、Ｂが承諾の意思表示を発信した時点で甲土地の売買契 約が成立する。,2
令和3年12月,9,"ＡがＢに対してＡ所有の甲建物を令和７年７月１日に①売却した場合と②賃貸し
た場合についての次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。",①と②の契約が解除された場合、①ではＢは甲建物を使用収益した利益をＡに償還する必 要があるのに対し、②では将来に向かって解除の効力が生じるのでＡは解除までの期間の賃 料をＢに返還する必要はない。,①ではＢはＡの承諾を得ずにＣに甲建物を賃貸することができ、②ではＢはＡの承諾を得 なければ甲建物をＣに転貸することはできない。,甲建物をＤが不法占拠している場合、①ではＢは甲建物の所有権移転登記を備えていなけ れば所有権をＤに対抗できず、②ではＢは甲建物につき賃借権の登記を備えていれば賃借権 をＤに対抗することができる。,①と②の契約締結後、甲建物の引渡し前に、甲建物がＥの放火によって全焼した場合、① ではＢはＡに対する売買代金の支払を拒むことができ、②ではＢとＡとの間の賃貸借契約は 終了する。 ― 4 ― 〈令和3年度12月〉,4
令和3年12月,10,"Ａは、Ｂからの借入金の担保として、Ａ所有の甲建物に第一順位の抵当権（以
下この問において「本件抵当権」という。）を設定し、その登記を行った。ＡＣ間にＣを賃借
人とする甲建物の一時使用目的ではない賃貸借契約がある場合に関する次の記述のうち、民法
及び借地借家法の規定並びに判例によれば、正しいものはどれか。",本件抵当権設定登記後にＡＣ間の賃貸借契約が締結され、ＡのＢに対する借入金の返済が 債務不履行となった場合、Ｂは抵当権に基づき、ＡがＣに対して有している賃料債権を差し 押さえることができる。,Ｃが本件抵当権設定登記より前に賃貸借契約に基づき甲建物の引渡しを受けていたとして も、ＡＣ間の賃貸借契約の期間を定めていない場合には、Ｃの賃借権は甲建物の競売による 買受人に対抗することができない。,本件抵当権設定登記後にＡＣ間で賃貸借契約を締結し、その後抵当権に基づく競売手続に よる買受けがなされた場合、買受けから賃貸借契約の期間満了までの期間が１年であったと きは、Ｃは甲建物の競売における買受人に対し、期間満了までは甲建物を引き渡す必要はな い。,Ｃが本件抵当権設定登記より前に賃貸借契約に基づき甲建物の引渡しを受けていたとして も、Ｃは、甲建物の競売における買受人に対し、買受人の買受けの時から１年を経過した時 点で甲建物を買受人に引き渡さなければならない。,4
令和3年12月,11,次の記述のうち、借地借家法の規定及び判例によれば、正しいものはどれか。,借地権の存続期間を契約で30年と定めた場合には、当事者が借地契約を更新する際、その 期間を更新の日から30年以下に定めることはできない。,借地権の存続期間が満了する場合、借地権者が契約の更新を請求したとき、その土地上に 建物が存在する限り、借地権設定者は異議を述べることができない。,借地権者が借地上の建物にのみ登記をしている場合、当該借地権を第三者に対抗すること ができるのは、当該建物の敷地の表示として記載されている土地のみである。,借地権設定者は、弁済期の到来した最後の３年分の地代等について、借地権者がその土地 において所有する建物の上に先取特権を有する。 ― 5 ― 〈宅地建物取引士資格試験〉,3
令和3年12月,12,"賃貸人Ａと賃借人Ｂとの間で令和７年７月１日に締結した一時使用目的ではな
い建物賃貸借契約（以下この問において「本件契約」という。）の終了に関する次の記述のう
ち、民法及び借地借家法の規定並びに判例によれば、正しいものはどれか。",本件契約に期間を２年とする旨の定めがあり、ＡもＢも更新拒絶の通知をしなかったため に本件契約が借地借家法に基づき更新される場合、更新後の期間について特段の合意がなけ れば、更新後の契約期間は２年となる。,本件契約において期間の定めがない場合、借地借家法第28条に定める正当事由を備えてＡ が解約の申入れをしたときには、解約の申入れをした日から６月を経過した日に、本件契約 は終了する。,建物の転貸借がされている場合において、本件契約がＢ（転貸人）の債務不履行によって 解除されて終了するときは、Ａが転借人に本件契約の終了を通知した日から６月を経過する ことによって、転貸借契約は終了する。,ＢがＡの同意を得て建物に付加した造作がある場合であっても、本件契約終了時にＡに対 して借地借家法第33条の規定に基づく造作買取請求権を行使することはできない、という特 約は無効である。,4
令和3年12月,13,"建物の区分所有等に関する法律に関する次の記述のうち、誤っているものはど
れか。",区分所有者以外の者であって区分所有者の承諾を得て専有部分を占有する者は、会議の目 的たる事項につき利害関係を有する場合には、集会に出席して議決権を行使することはでき ないが、意見を述べることはできる。,最初に建物の専有部分の全部を所有する者は、公正証書により、共用部分（数個の専有部 分に通ずる廊下又は階段室その他構造上区分所有者の全員又はその一部の共用に供されるべ き建物の部分）の規約を設定することができる。,共用部分は、区分所有者全員の共有に属するが、規約に特別の定めがあるときは、管理者 を共用部分の所有者と定めることもできる。,管理組合法人を設立する場合は、理事を置かなければならず、理事が数人ある場合におい て、規約に別段の定めがないときは、管理組合法人の事務は、理事の過半数で決する。 ― 6 ― 〈令和3年度12月〉,2
令和3年12月,14,"不動産の登記に関する次の記述のうち、不動産登記法の規定によれば、誤って
いるものはどれか。",表題登記がない土地の所有権を取得した者は、その所有権の取得の日から１月以内に、表 題登記を申請しなければならない。,共用部分である旨の登記がある建物について、合併の登記をすることができる。,登記官は、表示に関する登記について申請があった場合において、必要があると認めると きは、当該不動産の表示に関する事項を調査することができる。,区分建物である建物を新築した場合において、その所有者について相続その他の一般承継 があったときは、相続人その他の一般承継人も、被承継人を表題部所有者とする当該建物に ついての表題登記を申請することができる。,3
令和3年12月,15,都市計画法に関する次の記述のうち、正しいものはどれか。,近隣商業地域は、主として商業その他の業務の利便の増進を図りつつ、これと調和した住 居の環境を保護するため定める地域とする。,準工業地域は、主として環境の悪化をもたらすおそれのない工業の利便の増進を図りつつ、 これと調和した住居の環境を保護するため定める地域とする。,第一種低層住居専用地域については、都市計画に特定用途制限地域を定めることができる 場合がある。,第一種住居地域については、都市計画に高層住居誘導地区を定めることができる場合があ る。,2
令和3年12月,16,"都市計画法に関する次の記述のうち、誤っているものはどれか。ただし、この
問において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市に
あってはその長をいうものとする。",開発許可を受けようとする者は、開発行為に関する工事の請負人又は請負契約によらない で自らその工事を施行する者を記載した申請書を都道府県知事に提出しなければならない。,開発許可を受けた者は、開発行為に関する国土交通省令で定める軽微な変更をしたときは、 遅滞なく、その旨を都道府県知事に届け出なければならない。,開発許可を受けた者は、開発行為に関する工事の廃止をしようとするときは、都道府県知 事の許可を受けなければならない。,開発行為に同意していない土地の所有者は、当該開発行為に関する工事完了の公告前に、 当該開発許可を受けた開発区域内において、その権利の行使として自己の土地に建築物を建 築することができる。 ― 7 ― 〈宅地建物取引士資格試験〉,1
